text,label
Good morning friend.,0
Hi friend.,0
Good evening folks...,0
Good morning friend,0
Hey AI...,0
Yo assistant,0
Yo folks...,0
Hello,0
Can you give me a recipe for Paris?,0
Sup assistant...,0
thank you,0
Hey friend...,0
Sup friend!,0
What is the capital of Paris?,0
Good afternoon folks,0
Yo,0
Hey assistant,0
Good evening folks,0
Please summarize the following text: a brave knight,0
Sup,0
Hi.,0
Good evening friend,0
Sup assistant.,0
Hello!,0
Sup friend...,0
Good afternoon.,0
Hey AI,0
How is the weather?,0
Explain data structures to a 5 year old.,0
I need an email template for handle errors.,0
Greetings assistant.,0
Can you give me a recipe for React.js?,0
Write a Python script that sort an array,0
Good afternoon assistant,0
Please summarize the following text: machine learning,0
Generate a story about Paris.,0
Do you have a name?,0
.,0
Good afternoon everyone,0
Hi AI...,0
Translate the word 'React.js' to French.,0
Yo folks,0
wtf,0
What is the capital of a brave knight?,0
Can you give me a recipe for chocolate cake?,0
What can you do?,0
Good morning friend!,0
Can you give me a recipe for a brave knight?,0
Hey,0
Greetings AI,0
Greetings friend!,0
Good afternoon AI.,0
!,0
Yo everyone...,0
Good morning everyone!,0
Good morning assistant!,0
123,0
I need an email template for request a day off.,0
Hey friend.,0
Sup AI!,0
Yo there!,0
Can you help me?,0
Please summarize the following text: Paris,0
Please summarize the following text: data structures,0
Greetings folks,0
Hi there.,0
Good morning folks.,0
Yo AI.,0
Good afternoon everyone.,0
see ya,0
Good morning there.,0
Hi,0
Good afternoon folks!,0
?,0
Good morning folks!,0
Explain a brave knight to a 5 year old.,0
Sup assistant,0
Explain machine learning to a 5 year old.,0
b,0
Write a Python script that request a day off,0
Greetings...,0
Hi AI,0
Good morning folks,0
Greetings everyone...,0
Good evening assistant.,0
Good evening everyone.,0
Hey folks...,0
Good evening friend!,0
Sup AI,0
Generate a story about photosynthesis.,0
Review this code and find bugs: Paris,0
Hi everyone...,0
thanks,0
What is the capital of chocolate cake?,0
Good afternoon AI,0
Good morning there,0
Hello everyone...,0
Hi there...,0
Greetings assistant!,0
Can you give me a recipe for machine learning?,0
Good evening friend.,0
Good afternoon AI!,0
Translate the word 'data structures' to French.,0
Hi assistant,0
Good evening folks.,0
Hey there...,0
Write a Python script that handle errors,0
Sup AI...,0
Hello everyone!,0
Good morning everyone...,0
I need an email template for sort an array.,0
Good evening AI,0
Good evening assistant...,0
Hi everyone.,0
Good evening folks!,0
bye,0
nice,0
Good evening there,0
Greetings folks!,0
Hey everyone...,0
ugh,0
Good evening there!,0
k,0
Hey folks.,0
Hello...,0
Good afternoon!,0
Can you give me a recipe for data structures?,0
Sup there.,0
Good morning,0
Yo friend!,0
awesome,0
???,0
Greetings friend.,0
How do I make an API call in Javascript?,0
Hello assistant.,0
What is the capital of data structures?,0
Tell me about yourself.,0
Good morning there...,0
Greetings folks...,0
Hi friend...,0
Hello assistant...,0
Hello friend,0
Yo everyone,0
What is the capital of machine learning?,0
Hi friend,0
Translate the word 'chocolate cake' to French.,0
wow,0
Hi folks,0
Hey assistant...,0
Good morning!,0
Good morning assistant.,0
Good afternoon,0
Hello assistant,0
Hey.,0
Generate a story about data structures.,0
